# key	english	bulgarian	french	russian
Journal/bobq1::2	Fix the elevator. You need <color=yellow>10 metal</color>.	Поправи асансьора. Тръгват ти <color=yellow>10 метал</color>.	Réparez l'ascenseur. Vous avez besoin de <color=yellow>10 métal</color>.	Починить лифт. Нужно <color=yellow>10 металла</color>.
Journal/bobq1::2bck	Fix the elevator. You need $items$.	Поправи асансьора. Трябва ти $items$.	Réparez l'ascenseur. Vous avez besoin de $items$.	Починить лифт. Нужно: $items$.
Journal/bobq1::3	Go back to Bob.	Върни се при Боб.	Retournez voir Bob.	Вернуться к Бобу.
Journal/bobq2Title	Bob's Jacket	Якето на Боб	Veste de Bob	Куртка Боба
Journal/bobq2	Bob needs his warm jacket back. He has lost it somewhere in the mine.	Боб иска да си върне топлата яке. Загубил го е някъде в мината.	Bob a besoin de récupérer sa veste chaude. Il l'a perdue quelque part dans la mine.	Боб хочет вернуть свою теплую куртку. Он потерял ее где-то в шахтах.
Journal/bobq2::1	Find Bob's jacket.	Намери якето на Боб.	Trouvez la veste de Bob.	Найти куртку Боба.
Journal/bobq2::2	Get back to Bob with the jacket.	Върни се при Боб с якето.	Retournez voir Bob avec la veste.	Вернуть Бобу куртку.
Journal/bobq3Title	Bob's Glasses	Очилата на Боб	Lunettes de Bob	Очки Боба
Journal/bobq3	Bob needs his glasses. I think I saw glasses on another Bob... 	Боб има нужда от очилата си. Мисля, че видях очила на друг Боб...	Bob a besoin de ses lunettes. Je pense avoir vu des lunettes sur un autre Bob...	Бобу нужны очки. Кажется, очки носит другой Боб...
Journal/bobq3::1	Find glasses for Bob.	Намери очила за Боб.	Trouvez les lunettes pour Bob.	Найти очки для Боба.
Journal/bobq3::2	Get back to Bob with glasses.	Върни се при Боб с очилата.	Retournez voir Bob avec les lunettes.	Вернуть очки Бобу.
Journal/bobq4Title	Ivy Bob: Hydrogen Storage	Ива Боб: Съхранение на водород	Ivy Bob: stockage d'hydrogène	Боб-плющ: водород
Journal/bobq4	There might be a hydrogen storage on level -5, even if Bob denies it.	Може да има водородно хранилище на ниво -5, дори ако Боб отрича.	Il pourrait y avoir un stock d'hydrogène au niveau -5, même si Bob le nie.	Боб это, конечно, отрицает, но на -5 уровне может храниться водород.
Journal/bobq4::1	Take a look at level -5.	Погледни ниво -5.	Jetez un œil au niveau -5.	Взглянуть на -5 уровень.
Journal/bobq5Title	Sleepless Base	Безсънна база	Base des Éveillés	База Неспящих
Journal/bobq5	The Sleepless have their own base, apparently. It would be worth paying a visit.	Безсънните имат своя база, явно. Струва си да им отидем на гости.	Les Éveillés ont leur propre base, apparemment. Ça vaudrait la peine de leur rendre visite.	Похоже, у Неспящих есть собственная база. Стоит проверить.
Journal/bobq5::1	Follow Bob to the base at level -5.	Следвай Боб до базата на ниво -5.	Suivez Bob à la base au niveau -5.	Следовать за Бобом на -5 уровень базы.
Journal/bobq6Title	Bob's Proposition	Предложението на Боб	Proposition de Bob	Предложение Боба
Journal/bobq6	Bob needs help with the Operation Awakening. I should let the Sleepless know when I'm ready for the rocket launch.	Боб има нужда от помощ с операция „Събуждане“. Трябва да кажа на Безсънните, когато съм готов за изстрелването на ракетата.	Bob a besoin d'aide pour l'Opération Éveil. Je dois informer les Éveillés quand je serai prêt pour le lancement de la fusée.	Боб просить помочь ему с операцией «Пробуждение». Я должен сообщить Неспящим, когда буду готов запускать ракету.
Journal/bobq6::1	Put on a red light to notify the Sleepless about the incoming launch.	Включи червена светлина, за да уведомиш Безсънните за предстоящото изстрелване.	Allumez une lumière rouge pour informer les Éveillés du lancement imminent.	Включить красный свет, чтобы сообщить Неспящим о запуске ракеты.
