# key	english	bulgarian	french	russian
Items/DesKeyMushroom	You're sure it's an edible kind of mushroom, are you?	Сигурен ли си, че това е ядлива гъба?	Vous êtes sûr que c'est un champignon comestible, n'est-ce pas?	Вы уверены, что это съедобный гриб?
Items/DesKeyMushroomSoup	A mushroom soup. Sour with a hint of damp basement.	Супа от гъби. Кисела с нотка на влажно мазе.	Une soupe de champignons. Aigre avec un arrière goût de cave humide.	Грибной суп. Кислый, с нотками сырого подвала.
Items/DesKeyNopales	A meal made of cactuses. Cacti. Anyway: delicious.	Храна от кактуси. Кактуси. Както и да е: вкусна.	Un repas à base de cactus. Quoi qu'il en soit: délicieux.	Вкусное и совсем не колючее блюдо из кактуса.
Items/DesKeyOil	Put it in a refinery to convert it into fuel.	Постави го в рафинерията, за да го превърнеш във гориво.	Mettez-le dans une raffinerie pour le transformer en carburant.	Перелейте в аппарат для очистки, чтобы получить топливо.
Items/DesKeyOmelette	They say you can't unscramble it, so why not eat it?	Казват, че не можеш да го разбъркаш, така че защо не го изядеш?	On ne fait pas d'omelette sans casser des oeufs.	Разбитое яйцо назад не соберешь. Так почему бы его не съесть?
Items/DesKeyOrangeJam	Orange jam, reminding you of all the tropical travels you never had. It will satisfy your hunger and provide you with energy at the same time.	Оранжево сладко, което ти напомня за всички тропически пътувания, които никога не си имал. Ще задоволи глада ти и ще ти даде енергия едновременно.	Confiture d'orange, vous rappelle tous les voyages tropicaux que vous n'avez jamais fait. Il satisfera votre faim et vous fournira de l'énergie en même temps.	Апельсиновое варенье. Напоминает обо всех упущенных тропических путешествиях. Утоляет голод и заряжает энергией.
Items/DesKeyPasta	Delicious. Don't forget to kiss your fingers before serving.	Вкусно. Не забравяй да целунеш пръстите си преди сервиране.	Délicieux. N'oubliez pas d'embrasser vos doigts avant de servir.	Вкуснейшее блюдо. Не забудьте облизать пальчики перед едой.
Items/DesKeyPate	A simple but tasty pate.	Пастет.	Pâté simple mais savoureux.	Простой, но вкусный паштет.
Items/DesKeyPemmican	A highly nutritious meal made of dried meat and berries. Invented by Native Americans, loved also by preppers.	Много хранителна храна, направена от сушено месо и плодове. Измислена от коренните американци, обичана и от препърите.	Un repas hautement nutritif à base de viande séchée et de baies. Inventé par les Amérindiens, et aussi aimé par les preppers.	Очень питательное блюдо из сушеного мяса и ягод. Придумано индейцами и горячо любимо выживальщиками.
Items/DesKeyPickaxe	May be useful for opening some blocked pathways in the mines.	Може да е полезно за отваряне на някои блокирани пътеки в мините.	Peut être utile pour débloquer certains passages dans la mine.	Может помочь раскопать заваленный проход в шахте.
Items/DesKeyPickles	Can't go wrong with pickles, right?	Кисели краставички – винаги добра идея, нали?	On ne peut pas se tromper avec des cornichons, n'est-ce pas?	С соленьями никогда не прогадаешь, да?
Items/DesKeyRainWaterCollector	It's a bucket. Place it outside during rain to collect extra water.	Това е кофа. Постави я навън по време на дъжд, за да събираш допълнителна вода.	C'est un seau. Placez-le à l'extérieur pendant qu'il pleut pour obtenir de l'eau en plus.	Просто ведро. Оставьте его на улице во время дождя, чтобы набрать воды.
Items/DesKeyRaport	A report from the Agent. Hope it's positive.	Доклад от агента. Надявам се да е положителен.	Un rapport de l'Agent. Espèrons qu'il soit positif.	Отчет Агента. Надеюсь, положительный.
Items/DesKeyRatMeat	Not exactly a delicacy, but it doesn't deserve the bad reputation.	Не е точно деликатес, но не заслужава лошата репутация.	Pas vraiment un mets délicat, mais ne mérite pas sa mauvaise réputation.	Далеко не мечта шеф-повара, но и не так ужасно, как принято считать.
Items/DesKeyRoastedRat	Quite good. Goes well with white wine and sour sides.	Доста добро. Подходящо е за бяло вино и кисели гарнитури.	Plutôt bon. Se marie bien avec du vin blanc.	Довольно вкусно. Хорошо идет с белым вином и гарниром.
