# key	english
UI/Blueprint	Blueprint
UI/menuNuclearDLCInfo	To start the DLC side story, you need to survive until day 12 and complete a couple of quests from the main story. When these conditions are met, the scout girl will appear in the morning with information that starts the DLC.
UI/gasMaskAsk	Gas Mask
UI/Upgraded	Upgraded
UI/buffsWindow	Player status
UI/creditsPort	Port by Console Way
UI/sleepOnlySave	Your progress is being saved only when you sleep or nap.
UI/contextFREEZE	Freeze
UI/contextDIAGNOSE	Diagnose
UI/contextCALIBRATE	Calibrate
UI/Ice	Ice
UI/contextSCAREOFF	Scare Off
UI/contextREACTIVATE	Reactivate
UI/contextTURN_ON_FIRE	Light Up
UI/contextTURN_OFF_FIRE	Extinguish
UI/contextTURNOFF	Turn Off
UI/contextSHAKE	Shake
UI/frozenItemTutorialMessage	Freeze-dried — this item never expires.
UI/mountainDLC	MountainDLC
UI/ALL_FOOD	All recipes
UI/RemainingTime	Remaining time
UI/Under	under
UI/ToggleReadyToCraftTip	Show only blueprints you have materials for.
UI/ToggleReadyToCookTip	Show only recipes you have ingredients for.
UI/FoodAttributeRegenInfo1	Eat to regenerate [x] [y]
UI/FoodExpireInfo1	Expires after [x]
UI/FoodMaxAttributeIncreaseInfo1	<b>Improved [x]</b>\n\nGain +[y] Max [x] for 24 hours.\nThis effect does not stack.
UI/FoodMaxAttributeIncreaseInfo2	Eat [z] more to permanently gain +1 Max [x].
UI/FoodMaxAttributeIncreaseInfo3	Current permanent Max [x] bonus: +[a]
UI/FoodPoisonedInfo	You will get poisoned if you eat this.
UI/FoodHealBeatenUpDebuff	Heals Beaten Up debuff.
Chop/Mine	
GAME INFO/	
GAME INFO/Arabic	
GAME INFO/Chinese	
GAME INFO/Czech	
GAME INFO/Danish	
GAME INFO/Dutch	
GAME INFO/French	
GAME INFO/German	
GAME INFO/Hungarian	
GAME INFO/Italian	
GAME INFO/Japanese	
GAME INFO/Korean	
GAME INFO/Polish	
GAME INFO/Portuguese	
GAME INFO/Russian	
GAME INFO/Spanish	
GAME INFO/Steam:	
GAME INFO/Swedish	
GAME INFO/Thai	
GAME INFO/Trailer:	
GAME INFO/Turkish	
GAME INFO/Ukrainian	
GAME INFO/https://store.steampowered.com/app/761830/Mr_Prepper/	
Parameters/	
Parameters/AWAITING REPLY IN Q A	
Parameters/IN PROGRESS	
Parameters/Korean	
Parameters/READY	
Q A/Translator	Translator | Question
Q A/please choose your language	ask questions only in English
Dialogues/color use	quest
Dialogues/colors definition	yellow
Dialogues/herbBush	<duration value=2.5>\n<voice type=surprise>\nAh! \n<voice type=surprise>\nOh fudge! I wasn't hiding, just picking some berries.\n<voice type=question>\nBob, are you okay?
Dialogues/herbq1.1	<color=yellow>huh</color>, <S>praise</S> the forest.\nYou are here, just when i need you.\nThank god I escaped.. he had already devoured me with his eyes...\nWolf! And what did you think!\nThis bad wolf doesn't let me enter my house.\nMy flowers need water!\nYou are a strong man, please get rid of him and bring me his skin.\nIn return, I will give you something dear to my heart.
Dialogues/herbq1.2	I'm not your grandma.\nSo be it, flower...hi hi
Dialogues/herbq2.1	Oh hello there. Flower
Dialogues/herbq2.2	Where are you think your going?\nIt's not nice to sniff around in strangers houses.
Dialogues/herbq3	Oh, How can I thank you.\nPlease take those precious seeds.\nAny time you need something,\nBob and I are gonna hang around here
Dialogues/herbr1	My name is Janny Winston.\nI live in the forest now. \nI'm known as Granny. \nI talk to flowers, \nWhat's so funny?! \nThere's a story behind that.
Dialogues/herbr2	There are many stories in my head\nBut they are mystery to me.. \nto us who are old.. \nand lost our minds.
Dialogues/herbr3	There's a mystery in the wood. \nthat few will know.\nBut i can tell you there are times when even big birds fall.
Dialogues/prepCook	Just add some raw ingredients together, apply some heat... \n<voice type=laugh>\nand voilà - FOOD. \n<voice type=acceptance>\nCooking makes your food richer.
Dialogues/prepCraft	<voice type=thanks>\nA workbench. A prepper's best friend.\n<voice type=acceptance>\nCraft, disassemble and work magic.  \n<voice type=order>\nBut it better stay hidden from the Agency...
Dialogues/prepForest	<voice type=greeting>\nAh, the smell of adventure. \nI'm sure the forest is full of useful materials.
Dialogues/prepLever	Oh! A lever. Maybe it'll be useful for fixing the ropeline? 
Dialogues/prepMap	Where do I want to go today?
Dialogues/prepMine	This could be a good place to look for STONE.
Dialogues/prepPillar	It's not supposed to look like this. Is it...?
Dialogues/prepRocketPlan	<voice type=order>\nGoal number one: survive.\n<voice type=order>\nGoal number two: ESCAPE!
Dialogues/prepStart	It's time for my ULTIMATE PLAN. \nI gotta get out of this place.
Dialogues/prepTrade	<voice type=acceptance>\nSo it's time for some trading.\nMake an order, collect it in 2 hours.\n<voice type=acceptance>\nThat's how it should work.
Dialogues/preph1	Ok granny. \nAnd please, don't flower me just like that.
Dialogues/preph2	So I'm a flower now.\nWell... I guess, I have to live with that.
Dialogues/agentStartScene	By decision of the American Government on your last attempt to escape.\nFrom now I will conduct inspection visits.\nStay prepared.
Dialogues/text2	ENG Text text
Dialogues/text3	ENG Text text text
Dialogues/text4	ENG Text text text text
Dialogues/	I'm looking for hydrogen.
Dialogues/prepHungry1	<voice type=disappointment>\nI'm so hungry!
Dialogues/prepHungry2	<voice type=hunger>\nI could really use a snack.
Dialogues/prepHungry3	<voice type=hunger>\nDamn, I'm starving!
Dialogues/prepHungry4	<voice type=upset>\nIt would be nice to eat something.
Dialogues/prepTired1	<voice type=question>\nI'm tired. A short nap?
Dialogues/prepTired2	I could use a short nap.
Dialogues/prepTired3	I'd like to go to bed for a short nap.
Dialogues/prepTired4	<voice type=upset>\nI need to rest. Just for a little while...
Dialogues/prepLowPrepnes1	<voice type=disappointment>\nI do not feel Prepared enough.
Dialogues/prepLowPrepnes2	<voice type=disappointment>\nNothing goes right, I feel un-Prepared...
Dialogues/prepLowPrepnes3	<voice type=disappointment>\nMy Preparedness is low.
Dialogues/prepLowPrepnes4	<voice type=disappointment>\nEverything's slowed down and I don't feel Prepared enough.
Dialogues/prepTutAfterAgent	<voice type=surprise>\nOh my, that was close. I have to be more careful.
Dialogues/prepTutEnd	<voice type=acceptance>\nOkay, everything is in place. Time for my Ultimate Plan. 
Dialogues/prepNotAllowed	It's not a good time for that.
Dialogues/prepBasics1	<voice type=order>\nLet's get this over with.
Dialogues/prepBasics2	<voice type=question>\nMorning jog? Nah.
Dialogues/prepBasics3	One step at a time.
Dialogues/prepBasics4	<voice type=order>\nTime to get Prepared!
Dialogues/prepEat1	<voice type=upset>\nI'm so hungry.
Dialogues/prepEat2	<voice type=question>\nMaybe I still have some leftovers in the fridge?
Dialogues/prepEat3	<voice type=order>\nLet's look for some food in the fridge.
Dialogues/prepEat4	I need to eat something soon.
Dialogues/prepBuild1	<voice type=acceptance>\nTime to create my secret base.
Dialogues/prepBuild2	I'll make the first room of my bunker.
Dialogues/prepBuild3	I need to start working on my bunker.
Dialogues/prepBuild4	<voice type=order>\nLet's dig the first room of my bunker.
Dialogues/prepPlan1	I'll have a look at the plan.
Dialogues/prepPlan2	Hmm...
Dialogues/prepPlan3	<voice type=order>\nI need to check my ULTIMATE PLAN.
Dialogues/prepPlan4	I need to think of what to start with.
Dialogues/prepFirstWork1	I will need a workbench to craft a ladder.
Dialogues/prepFirstWork2	I should have an old table somewhere in the backyard...
Dialogues/prepFirstWork3	<voice type=order>\nI'll better check the backyard.
Dialogues/prepFirstWork4	I need a place to work.
Dialogues/prepFirstTrade1	<voice type=acceptance>\nTime to trade with Bob, he should have some metal.
Dialogues/prepFirstTrade2	<voice type=acceptance>\nWe have a small, but pretty close community of traders here.
Dialogues/prepFirstTrade3	Trading is sometimes the only way to get what I need.
Dialogues/prepFirstTrade4	<voice type=thanks>\nThe postman helps us with trading.\n<voice type=fear>\nIt's a bit unofficial, so let's hope the Agency doesn't find out.
Dialogues/prepGoToForest1	I could go to the nearby forest to collect some wood.
Dialogues/prepGoToForest2	The nearby forest should have plenty of wood.
Dialogues/prepGoToForest3	<voice type=question>\nBest place to look for wood would be a forest, I guess?
Dialogues/prepGoToForest4	<voice type=acceptance>\nTime to go to the forest.
Dialogues/prepInForest1	<voice type=thanks>\nAh, I love nature!
Dialogues/prepInForest2	<voice type=thanks>\nWhat a lovely place!
Dialogues/prepInForest3	It would be great to collect these logs.
Dialogues/prepInForest4	<voice type=order>\nLet's grab these logs and get out of here.
Dialogues/prepBackHome1	It would be good to get back home.
Dialogues/prepBackHome2	<voice type=acceptance>\nI need to go back home.\nThere should be a roadsign somewhere around here...
Dialogues/prepBackHome3	Time to go back home.\n<voice type=acceptance>\nI need to look for a path.
Dialogues/prepBackHome4	<voice type=disappointment>\nEnough of this nature.\n<voice type=acceptance>\nTime to go home.
Dialogues/prepDisLog1	<voice type=thanks>\nHome sweet home!
Dialogues/prepDisLog2	<voice type=acceptance>\nTime to disassemble some stuff!\nLet me go to my workbench.
Dialogues/prepDisLog3	I need to cut these logs into pieces of wood.
Dialogues/prepDisLog4	I need to make wood out of these logs first.\n<voice type=order>\nWorkbench time!
Dialogues/prepIGotMail1	<voice type=surprise>\nI have mail!
Dialogues/prepIGotMail2	I need to go to the mailbox.
Dialogues/prepIGotMail3	<voice type=thanks>\nThe postman is a really cool guy.
Dialogues/prepIGotMail4	<voice type=order>\nTime to receive ordered supplies!
Dialogues/prepUpgrade1	Now I can upgrade my work station.
Dialogues/prepUpgrade2	<voice type=acceptance>\nLet's go to the workbench and upgrade it.
Dialogues/prepUpgrade3	I need to go to the workbench.
Dialogues/prepUpgrade4	<voice type=acceptance>\nTime to refresh my old workbench.
Dialogues/prepPleaceLadder1	<voice type=acceptance>\nTime to place the ladder so I can go down to my bunker.
Dialogues/prepPleaceLadder2	<voice type=acceptance>\nI'll place the ladder, I need a convenient way to get to my bunker.
Dialogues/prepPleaceLadder3	Ladder down and I go underground.
Dialogues/prepPleaceLadder4	<voice type=order>\nI need to place the ladder.
Dialogues/prepLight1	<voice type=acceptance>\nI could use some light in my shelter.
Dialogues/prepLight2	<voice type=fear>\nIt's so dark!
Dialogues/prepLight3	I should be able to craft some lamps.
Dialogues/prepLight4	<voice type=acceptance>\nI have to disassemble some of these old plates.\nI need glass to craft wall lamps.
Dialogues/prepPleaceLight1	<voice type=thanks>\nNow I can place it in my bunker!
Dialogues/prepPleaceLight2	<voice type=thanks>\nNo more darkness! It's actually kind of cosy down here.
Dialogues/prepPleaceLight3	<voice type=laugh>\nLet there be light!
Dialogues/prepPleaceLight4	I can light up my bunker now.
Dialogues/prepActualSleepTime1	<voice type=acceptance>\nIt's late, I need to go to sleep.
Dialogues/prepActualSleepTime2	<voice type=negation>\nNo use of another nap, I want to sleep till morning.
Dialogues/prepActualSleepTime3	I'm tired. A plan for now: PJs, bed, sleep.
Dialogues/prepActualSleepTime4	<voice type=laugh>\nThat was a good day. Time to sleep now.
Dialogues/prepAgentTime1	<voice type=fear>\nOh no, the Agent will be here soon, I need to hide my stuff!
Dialogues/prepAgentTime2	<voice type=order>\nThe ladder, the workbench, and the escape plan, I'm on it!
Dialogues/prepAgentTime3	<voice type=order>\nLet's hide the ladder, the workbench, and the escape plan, quick!
Dialogues/prepAgentTime4	<voice type=order>\nI need to hurry!
Dialogues/prepPleaceWorkbench1	I can place my workbench now.\n<voice type=laugh>\nI wonder how these things fit into my pockets.
Dialogues/prepPleaceWorkbench2	<voice type=acceptance>\nTime to place the workbench in the bunker.\n<voice type=fear>\nI don't want the Agent to see it.
Dialogues/prepPleaceWorkbench3	<voice type=acceptance>\nI need to hide the workbench in my bunker.
Dialogues/prepPleaceWorkbench4	One last step - place the workbench in the bunker.
Dialogues/prepNoAmo	<voice type=disappointment>\nI'm out of ammo!
Dialogues/prepOverheated	<voice type=disappointment>\nOverheated!
Dialogues/prepTrap	<voice type=negation>\nIt wouldn't work here.\n<voice type=acceptance>\nI should set it in the forest.
Dialogues/prepTrapForest	<voice type=negation>\nIt won't work here.\n<voice type=acceptance>\nI need to find an area more suitable for traps.
Dialogues/prepNeedFuel	<voice type=negation>\nI need fuel.
Dialogues/prepNeedWater	<voice type=negation>\nI need water.
Dialogues/prepNeedWood	<voice type=negation>\nI need wood.
Dialogues/prepNoWay	<voice type=negation>\nI can't get there!
Dialogues/prepBlockedWay	<voice type=negation>\nThe way is blocked!
Dialogues/prepTree	<voice type=negation>\nI need a higher room for this.
Dialogues/prepTreePatch	<voice type=negation>\nI need a planter for this.
Dialogues/prepGreenhouse	<voice type=negation>\nI need a greenhouse for this.
Dialogues/prepNeedOil	<voice type=negation>\nI need oil.
Dialogues/prepGrabbingFullBoxForbidden	<voice type=negation>\nI can't grab that since it's full!
Dialogues/prepPlacingForbiddenForest	<voice type=negation>\nForest is no place for that!
Dialogues/prepPlacingForbiddenMines	<voice type=negation>\nA mine is no place for that!
Dialogues/prepPlacingForbiddenDesert	<voice type=negation>\nA desert is no place for that!
Dialogues/prepPlacingForbiddenOther	<voice type=negation>\nThis is no place for that!
Dialogues/prepPlacingForbiddenQuest	<voice type=negation>\nThis one seems important. I'll better keep it!
Dialogues/prepPickaxeNeeded	<voice type=negation>\nI need a pickaxe for that!\nMaybe I can buy one from Bob?
Dialogues/prepAxeNeeded	<voice type=negation>\nI need an axe for that!\nMaybe I can buy one from Joe?
Dialogues/prepInsideDestroyRoom	<voice type=negation>\nI can't destroy a room I'm still in!
Dialogues/prepItemsInsideDestroyRoom	<voice type=negation>\nI can't destroy a room with items inside!
Dialogues/prepUpgradeDestroyRoom	<voice type=negation>\nI can't destroy an upgraded room!
Dialogues/prepSick1	<voice type=upset>\nI feel sick.
Dialogues/prepSick2	<voice type=upset>\nMy stomach hurts.
Dialogues/prepWrackPlane	Gdy prepper znajduje zdjęcie przy wraku samolotu
Dialogues/prepHunterNote	<voice type=surprise>\nHmm, a local hunter. Interesting, I need to check out her stuff.
Dialogues/prepFirstMinutManLetter	<voice type=surprise>\nInteresting. I don't know who this guy is, but he does seem helpful. Perhaps he has more interesting items to share? Maybe he'll be willing to trade?
Dialogues/prepRocketPhoto	<voice type=laugh>\nFunny, this surprisingly makes sense. I have the feeling I could actually pull this off. It will need some planning though.
Dialogues/prepMakeAPlan	<voice type=question>\nHow can I escape? \n<voice type=negation>\nCar? Plane? Rocket...? No, that's just crazy.
Dialogues/prepInspiration	<voice type=question>\nI need to do some more planning... How can I escape?\n<voice type=acceptance>\nI need to find some inspiration.
Dialogues/prepPrequel	<voice type=negation>\nI need to read the previous volume of this book first.
Dialogues/prepFoodSource	<voice type=acceptance>\nI need a food source. Time to kick off my underground plantation.\n<voice type=laugh>\nThe Agent would not be happy to see that.
Dialogues/prepAfterFoodSource	<voice type=acceptance>\nFood source established. I'll check my plan again!
Dialogues/prepIntro	At last. Speed. The road before me, the space around me. An open horizon - this I haven't seen in a long time. Away from control, propaganda, boredom, from the empty-eyed people around. Heck, even those damned headaches seem to go away with every mile away from this town. To the new beginning!
Dialogues/agentBack1	<voice type=acceptance>\nAnd we are back at your place of residence, citizen.\nFor an attempted escape, we have confiscated your vehicle. This is standard procedure.\n<voice type=negation>\nObviously, you are also prohibited from buying or registering a new one.\n<voice type=order>\nThe Agency expresses hope that you will not attempt to leave Murricaville again.
